#Top: ios   Floorplan: io_1   Part: xc7a35tfgg484-1,,,,,,,,,,,,
#Generated by: kremerme   on: Mon Mar  8 10:36:28 2021,,,,,,,,,,,,
#Build: Vivado v2020.2   by: xbuild   on: Wed Nov 18 09:12:47 MST 2020,,,,,,,,,,,,
#Package Version: FINAL 2013-11-27,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-11-27,,,,,down 100,,,,,,,
,,,,maybe,maybe,,,,,,,
IO Bank,LEAD,Pin Name,Pin Number,"X, pos","Y, Pos",const,"U,D,L,R",const,const,sheet?,const,type
16,X,IO_L14P_T2_SRCC_16,E19,500,-2700,100,L,50,50,6,0,I
16,X,IO_L14N_T2_SRCC_16,D19,500,-2800,100,L,50,50,6,0,I
16,X,IO_L15P_T2_DQS_16,F18,500,-2900,100,L,50,50,6,0,I
16,X,IO_L15N_T2_DQS_16,E18,500,-3000,100,L,50,50,6,0,I
16,X,IO_L16P_T2_16,B20,500,-3100,100,L,50,50,6,0,I
16,X,IO_L16N_T2_16,A20,500,-3200,100,L,50,50,6,0,I
16,X,IO_L17P_T2_16,A18,500,-3300,100,L,50,50,6,0,I
16,X,IO_L17N_T2_16,A19,500,-3400,100,L,50,50,6,0,I
16,X,IO_L18P_T2_16,F19,500,-3500,100,L,50,50,6,0,I
16,X,IO_L18N_T2_16,F20,500,-3600,100,L,50,50,6,0,I
16,X,IO_L19P_T3_16,D20,500,-3700,100,L,50,50,6,0,I
16,X,IO_L19N_T3_VREF_16,C20,500,-3800,100,L,50,50,6,0,I
16,X,IO_L20P_T3_16,C22,500,-3900,100,L,50,50,6,0,I
16,X,IO_L20N_T3_16,B22,500,-4000,100,L,50,50,6,0,I
16,X,IO_L21P_T3_DQS_16,B21,500,-4100,100,L,50,50,6,0,I
16,X,IO_L21N_T3_DQS_16,A21,500,-4200,100,L,50,50,6,0,I
16,X,IO_L22P_T3_16,E22,500,-4300,100,L,50,50,6,0,I
16,X,IO_L22N_T3_16,D22,500,-4400,100,L,50,50,6,0,I
16,X,IO_L23P_T3_16,E21,500,-4500,100,L,50,50,6,0,I
16,X,IO_L23N_T3_16,D21,500,-4600,100,L,50,50,6,0,I
16,X,IO_L24P_T3_16,G21,500,-4700,100,L,50,50,6,0,I
16,X,IO_L24N_T3_16,G22,500,-4800,100,L,50,50,6,0,I
16,X,IO_25_16,F21,500,-4900,100,L,50,50,6,0,I
16,X,VCCO_16,A17,500,-5000,100,D,50,50,6,0,W
16,X,VCCO_16,B14,500,-5100,100,D,50,50,6,0,W
